animal_id	name	also_known_as	distribution	ecosystem_habitat	feeding_habits	conservation_status	taxonomy	
animal_id_1	american lobster	"atlantic lobster or true lobster or lobster"	"temperate waters of northwest atlantic or from labrador to north carolina"	rocky reefs	foraging predator	not listed	"order decapoda (crayfish or crabs or lobsters or shrimp) family nephropidae (clawed lobsters)"	
animal_id_2	american plaice	"dab or plaice or sole"	continental shelves of the atlantic ocean from the arctic circle to rhode island	soft sandy or muddy bottoms	ambush predator	threatened	order pleuronectiformes (flatfishes) family pleuronectidae (right eye flounders)	
animal_id_3	atlantic cod	"cod or codling or codfish or bank cod or scrod or northern cod"	temperate to sub polar waters on the continental shelf in the north atlantic	heterogeneous habitats	active predator	endangered	"order gadiformes (cods and relatives) or family gadidae (true cods)"	
animal_id_4	atlantic herring	"bank herring or shore herring or common herring or sardines"	throughout the north atlantic ocean	pelagic to coastal in cold to temperate waters	filter feeder	not listed	"order clupeiformes (herring) or family clupeidae (herrings or shads or sardines or menhadens)"	
animal_id_5	atlantic mackerel	"mackerel or split or joey or boston mackerel"	throughout the northern atlantic in the western atlantic from newfoundland and labrador to cape hatte	cold and temperate shelf areas	filter feeder	not listed	"order perciformes (perch like fish) or family scombridae (mackerels or tunas and bonitos)"	
animal_id_6	atlantic walrus	walrus	eastern arctic	"shallow (80m or less) or open water areas with soft sea floors close to land or pack ice"	foraging predator	special concern or data deficient	"order pinnipedia (seals or sea lions and relatives) family odobenidae (walruses)"	
animal_id_7	atlantic wolffish	"striped wolffish or seawolf or seacat or ocean catfish"	cold temperate to subpolar north atlantic ocean	rocky reefs and hard bottoms	aggressive predator	special concern or data deficient	order cottiformes (sculpins and relatives) family anarhichadidae (wolffishes)	
animal_id_8	beluga whale	"white whale or sea canary or beluga"	throughout the arctic ocean and the st. lawrence estuary	"shallow or coastal waters and near ice edge"	foraging predator	endangered or threatened or special concern	suborder odontoceti (toothed whales) family monodontidae (white whales)	
animal_id_9	blue shark	"blue dogs or blue pointers or great blue sharks"	global oceans tropical to cold temperate	pelagic or open ocean	active predator	special concern or data deficient	"order carcharhiniformes (ground sharks) or family carcharhinidae (requiem sharks)"	
animal_id_10	bowhead whale	"greenland whale or greenland right whale or polar whale"	throughout the arctic ocean	"offshore or near ice edge"	filter feeder	special concern or data deficient	suborder mysticeti (baleen whales) family balaenidae (right whales)	
